"species","researcher","date","height","bill_depth_mm","bill_length_mm"
"Adelie","Uli",2022-04-12,99999,18.7,39.1
"Adelie","Freya",2022-04-11,0.66977086834672,17.4,39.5
"Adelie","Uli",2022-04-11,73.8583916783584,18,40.3
"Adelie","Freya",2022-04-07,NA,NA,NA
"Adelie","Stig",2022-04-10,723.292128242059,19.3,36.7
"Adelie","Stig",2022-04-09,700.35444542977,20.6,39.3
"Adelie","Stig",2022-04-11,631.541396992906,17.8,38.9
"Adelie","Freya",2022-04-12,0.738583916783584,19.6,39.2
"Adelie","Uli",2022-04-09,72.3292128242059,18.1,34.1
"Adelie","Freya",2022-04-07,0.70035444542977,20.2,42
"Adelie","Freya",2022-04-11,0.66977086834672,17.1,37.8
"Adelie","Stig",2022-04-09,623.895502722143,17.3,37.8
"Adelie","Freya",2022-04-13,0.639187291263668,17.6,41.1
"Adelie","Freya",2022-04-10,0.708000339700533,21.2,38.6
"Adelie","Uli",2022-04-12,76.1521599595873,21.1,34.6
"Adelie","Freya",2022-04-08,0.662124974075957,17.8,36.6
"Adelie","Freya",2022-04-14,0.738583916783584,19,38.7
"Adelie","Stig",2022-04-07,753.87570532511,20.7,42.5
"Adelie","Freya",2022-04-11,0.654479079805194,18.4,34.4
"Adelie","Freya",2022-04-09,0.730938022512821,21.5,46
"Adelie","Uli",2022-04-13,57.8020137097566,18.3,37.8
"Adelie","Uli",2022-04-08,62.3895502722143,18.7,37.7
"Adelie","Stig",2022-04-14,692.708551159008,19.2,35.9
"Adelie","Stig",2022-04-09,662.124974075957,18.1,38.2
"Adelie","Stig",2022-04-09,623.895502722143,17.2,38.8
"Adelie","Stig",2022-04-13,677.416762617482,18.9,35.3
"Adelie","Uli",2022-04-08,64.6833185534431,18.6,40.6
"Adelie","Stig",2022-04-12,677.416762617482,17.9,40.5
"Adelie","Uli",2022-04-08,56.2728348556041,18.6,37.9
"Adelie","Stig",2022-04-09,623.895502722143,18.9,40.5
"Adelie","Stig",2022-04-08,608.603714180617,16.7,39.5
"Adelie","Freya",2022-04-08,0.608603714180617,18.1,37.2
"Adelie","Uli",2022-04-13,68.5062656888245,17.8,39.5
"Adelie","Uli",2022-04-10,65.4479079805194,18.9,40.9
"Adelie","Freya",2022-04-09,0.738583916783584,17,36.4
"Adelie","Stig",2022-04-10,746.229811054347,21.1,39.2
"Adelie","Stig",2022-04-09,700.35444542977,20,38.8
"Adelie","Freya",2022-04-14,0.623895502722143,18.5,42.2
"Adelie","Stig",2022-04-07,631.541396992906,19.3,37.6
"Adelie","Freya",2022-04-08,0.654479079805194,19.1,39.8
"Adelie","Stig",2022-04-11,639.187291263668,18,36.5
"Adelie","Uli",2022-04-11,73.8583916783584,18.4,40.8
"Adelie","Uli",2022-04-09,66.977086834672,18.5,36
"Adelie","Freya",2022-04-10,0.746229811054347,19.7,44.1
"Adelie","Stig",2022-04-13,662.124974075957,16.9,37
"Adelie","Stig",2022-04-13,700.35444542977,18.8,39.6
"Adelie","Freya",2022-04-10,0.639187291263668,19,41.1
"Adelie","Uli",2022-04-12,61.624960845138,18.9,37.5
"Adelie","Stig",2022-04-12,NA,17.9,36
"Adelie","Uli",2022-04-09,99999,21.2,42.3
"Adelie","Freya",2022-04-11,0.66977086834672,17.7,39.6
"Adelie","Freya",2022-04-13,0.685062656888245,18.9,40.1
"Adelie","Stig",2022-04-09,NA,17.9,35
"Adelie","Freya",2022-04-09,0.776813388137398,19.5,42
"Adelie","Freya",2022-04-08,0.677416762617482,18.1,34.5
"Adelie","Uli",2022-04-11,70.8000339700533,18.6,41.4
"Adelie","Freya",2022-04-12,0.66977086834672,17.5,39
"Adelie","Stig",2022-04-10,723.292128242059,18.8,40.6
"Adelie","Freya",2022-04-07,0.631541396992906,16.6,36.5
"Adelie","Uli",2022-04-10,73.0938022512821,19.1,37.6
"Adelie","Uli",2022-04-13,66.2124974075957,16.9,35.7
"Adelie","Freya",2022-04-13,0.738583916783584,21.1,41.3
"Adelie","Stig",2022-04-11,662.124974075957,17,37.6
"Adelie","Stig",2022-04-12,715.646233971296,18.2,41.1
"Adelie","Freya",2022-04-08,0.654479079805194,17.1,36.4
"Adelie","Freya",2022-04-07,0.715646233971296,18,41.6
"Adelie","Stig",2022-04-10,738.583916783584,16.2,35.5
"Adelie","Uli",2022-04-07,68.5062656888245,19.1,41.1
"Adelie","Freya",2022-04-12,NA,16.6,35.9
"Adelie","Uli",2022-04-10,76.1521599595873,19.4,41.8
"Adelie","Stig",2022-04-10,700.35444542977,19,33.5
"Adelie","Freya",2022-04-07,0.70035444542977,18.4,39.7
"Adelie","Uli",2022-04-14,74.6229811054347,17.2,39.6
"Adelie","Freya",2022-04-08,0.75387570532511,18.9,45.8
"Adelie","Freya",2022-04-11,0.70035444542977,17.5,35.5
"Adelie","Freya",2022-04-10,0.738583916783584,18.5,42.8
"Adelie","Uli",2022-04-10,70.8000339700533,16.8,40.9
"Adelie","Freya",2022-04-07,0.654479079805194,19.4,37.2
"Adelie","Stig",2022-04-07,677.416762617482,16.1,36.2
"Adelie","Uli",2022-04-14,73.8583916783584,19.1,42.1
"Adelie","Stig",2022-04-07,692.708551159008,17.2,34.6
"Adelie","Stig",2022-04-11,746.229811054347,17.6,42.9
"Adelie","Stig",2022-04-09,677.416762617482,18.8,36.7
"Adelie","Freya",2022-04-13,0.723292128242059,19.4,35.1
"Adelie","Freya",2022-04-08,0.708000339700533,17.8,37.3
"Adelie","Stig",2022-04-07,730.938022512821,20.3,41.3
"Adelie","Stig",2022-04-12,700.35444542977,19.5,36.3
"Adelie","Stig",2022-04-09,692.708551159008,18.6,36.9
"Adelie","Stig",2022-04-09,NA,19.2,38.3
"Adelie","Freya",2022-04-10,0.70035444542977,18.8,38.9
"Adelie","Freya",2022-04-07,0.792105176678924,18,35.7
"Adelie","Stig",2022-04-11,815.042859491212,18.1,41.1
"Adelie","Stig",2022-04-07,662.124974075957,17.1,34
"Adelie","Uli",2022-04-13,66.977086834672,18.1,39.6
"Adelie","Uli",2022-04-07,67.7416762617482,17.3,36.2
"Adelie","Uli",2022-04-12,83.79805423035,18.9,40.8
"Adelie","Uli",2022-04-14,70.035444542977,18.6,38.1
"Adelie","Freya",2022-04-10,0.746229811054347,18.5,40.3
"Adelie","Stig",2022-04-07,608.603714180617,16.1,33.1
"Adelie","Stig",2022-04-14,715.646233971296,18.5,43.2
"Adelie","Uli",2022-04-10,71.5646233971296,17.9,35
"Adelie","Freya",2022-04-13,0.799751070949686,20,41
"Adelie","Stig",2022-04-14,646.833185534431,16,37.7
"Adelie","Freya",2022-04-07,0.70035444542977,20,37.8
"Adelie","Freya",2022-04-13,0.723292128242059,18.6,37.9
"Adelie","Freya",2022-04-13,0.654479079805194,18.9,39.7
"Adelie","Uli",2022-04-11,76.9167493866635,17.2,38.6
"Adelie","Stig",2022-04-07,700.35444542977,20,38.2
"Adelie","Uli",2022-04-09,99999,17,38.1
"Adelie","Stig",2022-04-10,753.87570532511,19,43.2
"Adelie","Uli",2022-04-07,76.1521599595873,16.5,38.1
"Adelie","Uli",2022-04-09,70.8000339700533,20.3,45.6
"Adelie","Stig",2022-04-08,723.292128242059,17.7,39.7
"Adelie","Uli",2022-04-10,75.387570532511,19.5,42.2
"Adelie","Stig",2022-04-11,708.000339700533,20.7,39.6
"Adelie","Freya",2022-04-12,0.746229811054347,18.3,42.7
"Adelie","Stig",2022-04-10,685.062656888245,17,38.6
"Adelie","Uli",2022-04-14,76.9167493866635,20.5,37.3
"Adelie","Stig",2022-04-10,692.708551159008,17,35.7
"Adelie","Freya",2022-04-08,0.692708551159008,18.6,41.1
"Adelie","Freya",2022-04-11,0.677416762617482,17.2,36.2
"Adelie","Uli",2022-04-08,76.1521599595873,19.8,37.7
"Adelie","Freya",2022-04-11,0.593311925639092,17,40.2
"Adelie","Stig",2022-04-07,792.105176678924,18.5,41.4
"Adelie","Uli",2022-04-13,66.977086834672,15.9,35.2
"Adelie","Freya",2022-04-12,0.769167493866635,19,40.6
"Adelie","Stig",2022-04-13,708.000339700533,17.6,38.8
"Adelie","Freya",2022-04-12,0.738583916783584,18.3,41.5
"Adelie","Uli",2022-04-07,70.8000339700533,17.1,39
"Adelie","Uli",2022-04-07,85.3272330845026,18,44.1
"Adelie","Uli",2022-04-07,70.035444542977,17.9,38.5
"Adelie","Stig",2022-04-14,753.87570532511,19.2,43.1
"Adelie","Freya",2022-04-13,0.723292128242059,18.5,36.8
"Adelie","Stig",2022-04-13,769.167493866635,18.5,37.5
"Adelie","Freya",2022-04-07,0.677416762617482,17.6,38.1
"Adelie","Stig",2022-04-07,700.35444542977,17.5,41.1
"Adelie","Freya",2022-04-08,0.708000339700533,17.5,35.6
"Adelie","Uli",2022-04-12,77.6813388137398,20.1,40.2
"Adelie","Uli",2022-04-14,66.2124974075957,16.5,37
"Adelie","Stig",2022-04-07,723.292128242059,17.9,39.7
"Adelie","Stig",2022-04-09,723.292128242059,17.1,40.2
"Adelie","Stig",2022-04-09,677.416762617482,17.2,40.6
"Adelie","Stig",2022-04-11,685.062656888245,15.5,32.1
"Adelie","Uli",2022-04-13,70.035444542977,17,40.7
"Adelie","Uli",2022-04-07,71.5646233971296,16.8,37.3
"Adelie","Uli",2022-04-09,99999,18.7,39
"Adelie","Uli",2022-04-14,70.035444542977,18.6,39.2
"Adelie","Uli",2022-04-13,65.4479079805194,18.4,36.6
"Adelie","Freya",2022-04-10,0.738583916783584,17.8,36
"Adelie","Uli",2022-04-07,72.3292128242059,18.1,37.8
"Adelie","Freya",2022-04-08,0.677416762617482,17.1,36
